所在地,com_score,rk_score,高校数量,面积,高校数量面积比,科研经费,教学与科研人员,研究与发展机构,score,rank
广东省,1.427095406,0.741131108,1.606806213,-0.339125125,-0.10862664,1.622490483,2.448837116,2.843059857,1442.130927,1
江苏省,3.39788472,2.600102471,1.761980645,-0.535616324,0.28534821,2.104659532,1.758935121,1.499770795,1001.14693,2
山东省,0.780195097,1.272186921,1.518135109,-0.397637308,-0.051264047,0.584416195,1.749335305,1.487696287,991.3348695,3
北京市,1.191403045,2.076499104,-0.011441433,-0.778201835,2.549257283,3.134344554,1.291220681,1.357895321,954.2427247,4
河南省,0.534473274,0.491888177,1.806316196,-0.376757967,-0.03386755,-0.279483777,0.937419296,1.019809086,833.6504294,5
辽宁省,1.066034768,0.894872318,0.476249638,-0.423247651,-0.193714088,-0.070766408,0.066084353,1.016790459,832.7625109,6
福建省,-0.142515422,-0.118384382,-0.100112537,-0.488949126,-0.226783917,-0.259420921,-0.265947934,0.971511052,814.9869474,7
陕西省,-0.262868968,0.942071145,0.099397447,-0.269281671,-0.361808724,0.836078018,0.475628906,0.72398363,735.6291004,8
湖北省,1.417065944,0.888799954,0.897437382,-0.322231767,-0.223758298,0.624385341,0.872647305,0.428158173,639.5791402,9
湖南省,-0.277913161,0.516453648,1.030444038,-0.252573894,-0.257272065,0.026470605,0.408644318,0.437214055,639.4163833,10
浙江省,0.303795644,0.964704501,0.365410759,-0.538558743,-0.043617705,0.875671078,0.792173014,0.322506225,603.8927265,11
四川省,0.835357139,0.456006027,1.030444038,0.485128771,-0.467117178,0.306938314,0.57323298,0.280245445,588.7044173,12
安徽省,0.464267039,0.226912303,0.720095174,-0.44540724,-0.123622287,0.181974045,0.34287309,0.102146446,529.0924042,13
吉林省,-0.383222514,-0.10817177,-0.565635832,-0.308071038,-0.430572903,-0.550558135,-0.482389874,0.105165073,527.0450848,14
上海市,0.770165635,0.717393686,-0.52130028,-0.799845022,4.049503167,1.692685992,1.077455269,-0.12123196,462.3072037,15
黑龙江省,-0.067294456,-0.114244134,-0.321790296,0.394817483,-0.531493587,-0.075945461,-0.135797273,-0.166511366,438.0752251,16
河北省,-0.338089934,-0.059040827,0.808766278,-0.315217298,-0.241391007,-0.517043438,0.300084321,-0.30838684,391.1445191,17
重庆市,-0.067294456,-0.511983961,-0.432629176,-0.600774501,-0.126888879,-0.265462661,-0.46697307,-0.332535857,382.561397,18
江西省,-0.443399287,-0.097959159,0.409746311,-0.373336799,-0.252308316,-0.551543042,-0.480855331,-0.362722128,372.1739349,19
天津市,-0.779386269,-0.468925382,-0.809481368,-0.790275436,2.034299791,-0.253269205,-0.58577525,-0.435169178,349.9469437,20
云南省,-0.282927892,-0.733073206,-0.033609209,0.208288552,-0.494582818,-0.705183935,-0.669960994,-0.580063279,299.1142712,21
内蒙古自治区,-1.065225941,-0.966859211,-0.853816919,2.258603308,-0.602468351,-0.876648943,-0.923660212,-0.61024955,287.5651373,22
山西省,-0.568767564,-0.642263766,-0.210951416,-0.400872893,-0.328964677,-0.638952435,-0.560794317,-0.643454449,278.2602572,23
甘肃省,-0.864636697,-0.775027719,-0.942488023,0.323142412,-0.562644747,-0.804483511,-1.03789445,-0.761180906,237.9553129,24
广西省,-0.659032723,-0.741905735,-0.077944761,-0.183262979,-0.416881901,-0.713046942,-0.31059243,-0.773255414,235.1585403,25
贵州省,-0.814489387,-0.928216896,-0.277454744,-0.348692022,-0.371696488,-0.802398736,-0.773560492,-0.821553448,218.309638,26
新疆维吾尔自治区,-0.664047454,-1.002465344,-0.654306936,3.565978754,-0.60730217,-0.910770187,-1.046530715,-1.235105361,80.76888413,27
海南省,-0.724224227,-1.288142458,-1.496682422,-0.72771541,-0.226368069,-0.886274706,-1.175896261,-1.307552411,56.69909428,28
宁夏回族自治区,-1.225697335,-1.434155205,-1.56318575,-0.682756107,-0.388893551,-0.911835057,-1.302299782,-1.322645547,50.73711907,29
青海省,-1.280859377,-1.377571815,-1.762695734,1.051372316,-0.618610927,-0.943113722,-1.374780175,-1.383018089,30.40506398,30
西藏自治区,-1.275844646,-1.420630394,-1.89570239,2.411076562,-0.625887559,-0.973912935,-1.500862512,-1.431316123,14.20286195,31
